entidad,relacion,objetos,pregunta,respuestas,obtenido_de,respuestas_aliases
Adolfo Ruiz Cortines,Fecha de defunción,['1973-12-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Ruiz Cortines?,['1973-12-03'],['mexico'],[[]]
Adolfo Saguier,Fecha de defunción,['1902-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Saguier?,['1902-01-01'],['paraguay'],[[]]
Adolfo Saldías,Fecha de defunción,['1914-10-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Saldías?,['1914-10-17'],['argentina'],[[]]
Adolfo Sánchez Vázquez,Fecha de defunción,['2011-07-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Sánchez Vázquez?,['2011-07-08'],['mexico'],[[]]
Adolfo Vaccaro,Fecha de defunción,['2020-01-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Vaccaro?,['2020-01-16'],['paraguay'],[[]]
Adolfo Winternitz,Fecha de defunción,['1993-06-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Winternitz?,['1993-06-17'],['peru'],[[]]
Adolfo Zumelzú,Fecha de defunción,['1973-03-29'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo Zumelzú?,['1973-03-29'],['argentina'],[[]]
Adolfo de la Huerta,Fecha de defunción,['1955-07-09'],Contesta la siguiente pregunta: ¿Cuándo falleció Adolfo de la Huerta?,['1955-07-09'],['mexico'],[[]]
Adria Santana,Fecha de defunción,['2011-09-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Adria Santana?,['2011-09-30'],['cuba'],[[]]
Adrian Esquino Lisco,Fecha de defunción,['2007-09-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Adrian Esquino Lisco?,['2007-09-08'],['el_salvador'],[[]]
Adriana Campos,Fecha de defunción,['2015-11-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Adriana Campos?,['2015-11-03'],['colombia'],[[]]
Adriano Irala,Fecha de defunción,['1933-08-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Adriano Irala?,['1933-08-18'],['paraguay'],[[]]
Adán Cárdenas,Fecha de defunción,['1916-07-12'],Contesta la siguiente pregunta: ¿Cuándo falleció Adán Cárdenas?,['1916-07-12'],['nicaragua'],[[]]
Adán Gordón,Fecha de defunción,['1966-03-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Adán Gordón?,['1966-03-08'],['panama'],[[]]
Agapito Jiménez Zamora,Fecha de defunción,['1879-09-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Agapito Jiménez Zamora?,['1879-09-17'],['costa_rica'],[[]]
Agustin Roman,Fecha de defunción,['2012-04-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustin Roman?,['2012-04-11'],['cuba'],[[]]
Agustín Abarca,Fecha de defunción,['1953-05-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Abarca?,['1953-05-28'],['chile'],[[]]
Agustín Acosta Bello,Fecha de defunción,['1979-03-12'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Acosta Bello?,['1979-03-12'],['cuba'],[[]]
Agustín Barboza,Fecha de defunción,['1998-12-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Barboza?,['1998-12-18'],['paraguay'],[[]]
Agustín Barreiro,Fecha de defunción,['1900-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Barreiro?,['1900-01-01'],['ecuador'],[[]]
Agustín Cueva,Fecha de defunción,['1992-05-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Cueva?,['1992-05-01'],['ecuador'],[[]]
Agustín Del Rosario,Fecha de defunción,['2010-08-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Del Rosario?,['2010-08-05'],['panama'],[[]]
Agustín Estrada Monroy,Fecha de defunción,['2002-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Estrada Monroy?,['2002-01-01'],['guatemala'],[[]]
Agustín Farabundo Martí,Fecha de defunción,['1932-02-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Farabundo Martí?,['1932-02-01'],['el_salvador'],[[]]
Agustín Febres-Cordero Ribadeneyra,Fecha de defunción,['2013-10-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Febres-Cordero Ribadeneyra?,['2013-10-25'],['ecuador'],[[]]
Agustín Gamarra,Fecha de defunción,['1841-11-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Gamarra?,['1841-11-18'],['peru'],[[]]
Agustín Gómez,Fecha de defunción,['1908-05-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Gómez?,['1908-05-07'],['guatemala'],[[]]
Agustín I de México,Fecha de defunción,['1824-07-19'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín I de México?,['1824-07-19'],['mexico'],[[]]
Agustín Iriarte,Fecha de defunción,['1963-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Iriarte?,['1963-01-01'],['guatemala'],[[]]
Agustín Moreno Ladrón de Guevara,Fecha de defunción,['1964-08-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Moreno Ladrón de Guevara?,['1964-08-17'],['chile'],[[]]
Agustín Pío Barrios,Fecha de defunción,['1944-08-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Pío Barrios?,['1944-08-07'],['paraguay'],[[]]
Agustín Radrizzani,Fecha de defunción,['2020-09-02'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Radrizzani?,['2020-09-02'],['argentina'],[[]]
Agustín Ramón Martínez Martínem,Fecha de defunción,['2024-05-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Ramón Martínez Martínem?,['2024-05-18'],['paraguay'],[[]]
Agustín Urrejola Leclerc,Fecha de defunción,['1827-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Urrejola Leclerc?,['1827-01-01'],['chile'],[[]]
Agustín Vial Santelices,Fecha de defunción,['1838-06-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín Vial Santelices?,['1838-06-26'],['chile'],[[]]
Agustín de Eyzaguirre,Fecha de defunción,['1837-07-19'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín de Eyzaguirre?,['1837-07-19'],['chile'],[[]]
Agustín de Orrego Zamora,Fecha de defunción,['1831-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Agustín de Orrego Zamora?,['1831-01-01'],['chile'],[[]]
Alamiro de Ávila,Fecha de defunción,['1990-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alamiro de Ávila?,['1990-01-01'],['chile'],[[]]
Alan García,Fecha de defunción,['2019-04-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Alan García?,['2019-04-17'],['peru'],[[]]
Alaíde Foppa,Fecha de defunción,['http://www.wikidata.org/.well-known/genid/6760eddbfc1a20499c57be98300da9eb'],Contesta la siguiente pregunta: ¿Cuándo falleció Alaíde Foppa?,['http://www.wikidata.org/.well-known/genid/6760eddbfc1a20499c57be98300da9eb'],['guatemala'],[[]]
Alba de Céspedes y Bertini,Fecha de defunción,['1997-11-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alba de Céspedes y Bertini?,['1997-11-14'],['cuba'],[[]]
Albert Arnold Gillespie,Fecha de defunción,['1978-05-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Albert Arnold Gillespie?,['1978-05-03'],['usa'],[[]]
Albert Paulsen,Fecha de defunción,['2004-04-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Albert Paulsen?,['2004-04-25'],['ecuador'],[[]]
Albertina Ramírez,Fecha de defunción,['1979-07-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Albertina Ramírez?,['1979-07-20'],['nicaragua'],[[]]
Alberto Andrade Carmona,Fecha de defunción,['2009-06-19'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Andrade Carmona?,['2009-06-19'],['peru'],[[]]
Alberto Baltra,Fecha de defunción,['1981-09-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Baltra?,['1981-09-07'],['chile'],[[]]
Alberto Barton,Fecha de defunción,['1950-10-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Barton?,['1950-10-25'],['peru'],[[]]
Alberto Bustamante Belaúnde,Fecha de defunción,['2008-02-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Bustamante Belaúnde?,['2008-02-07'],['peru'],[[]]
Alberto Castillo Urbistondo,Fecha de defunción,['1905-11-27'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Castillo Urbistondo?,['1905-11-27'],['chile'],[[]]
Alberto Cañas Escalante,Fecha de defunción,['2014-06-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Cañas Escalante?,['2014-06-14'],['costa_rica'],[[]]
Alberto Ceardi Ferrer,Fecha de defunción,['1987-12-12'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Ceardi Ferrer?,['1987-12-12'],['chile'],[[]]
Alberto Chaigneau,Fecha de defunción,['2019-11-12'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Chaigneau?,['2019-11-12'],['chile'],[[]]
Alberto Cruz Covarrubias,Fecha de defunción,"['2013-01-01', '2013-09-24']",Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Cruz Covarrubias?,"['2013-01-01', '2013-09-24']","['chile', 'chile']","[[], []]"
Alberto Denegri,Fecha de defunción,['1973-05-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Denegri?,['1973-05-18'],['peru'],[[]]
Alberto Dutary,Fecha de defunción,"['1997-01-01', '1998-01-01']",Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Dutary?,"['1997-01-01', '1998-01-01']","['panama', 'panama']","[[], []]"
Alberto Echandi Montero,Fecha de defunción,['1944-09-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Echandi Montero?,['1944-09-28'],['costa_rica'],[[]]
Alberto Edwards Vives,Fecha de defunción,['1932-04-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Edwards Vives?,['1932-04-03'],['chile'],[[]]
Alberto Enríquez Gallo,Fecha de defunción,['1962-07-13'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Enríquez Gallo?,['1962-07-13'],['ecuador'],[[]]
Alberto Fujimori,Fecha de defunción,['2024-09-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Fujimori?,['2024-09-11'],['peru'],[[]]
Alberto González Gonzalito,Fecha de defunción,['2003-08-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto González Gonzalito?,['2003-08-21'],['paraguay'],[[]]
Alberto Hurtado,Fecha de defunción,['1952-08-18'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Hurtado?,['1952-08-18'],['chile'],[[]]
Alberto Inzúa,Fecha de defunción,['2003-04-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Inzúa?,['2003-04-14'],['cuba'],[[]]
Alberto Jurado,Fecha de defunción,['1984-08-10'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Jurado?,['1984-08-10'],['ecuador'],[[]]
Alberto Korda,Fecha de defunción,['2001-05-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Korda?,['2001-05-25'],['cuba'],[[]]
Alberto Lleras Camargo,Fecha de defunción,['1990-01-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Lleras Camargo?,['1990-01-04'],['colombia'],[[]]
Alberto Lois,Fecha de defunción,['2019-03-12'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Lois?,['2019-03-12'],['republica_dominicana'],[[]]
Alberto Manuel Brenes Mora,Fecha de defunción,['1948-05-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Manuel Brenes Mora?,['1948-05-28'],['costa_rica'],[[]]
Alberto Martinez Piedra,Fecha de defunción,['2021-12-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Martinez Piedra?,['2021-12-20'],['cuba'],[[]]
Alberto Martén Chavarría,Fecha de defunción,['2009-12-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Martén Chavarría?,['2009-12-26'],['costa_rica'],[[]]
Alberto Martín y Villaverde,Fecha de defunción,['1960-11-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Martín y Villaverde?,['1960-11-03'],['cuba'],[[]]
Alberto Morán,Fecha de defunción,['1997-08-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Morán?,['1997-08-16'],['argentina'],[[]]
Alberto Noguès,Fecha de defunción,['2000-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Noguès?,['2000-01-01'],['paraguay'],[[]]
Alberto Rivas Bonilla,Fecha de defunción,['1985-11-29'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Rivas Bonilla?,['1985-11-29'],['el_salvador'],[[]]
Alberto Rodriguez Larreta,Fecha de defunción,['1977-03-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Rodriguez Larreta?,['1977-03-11'],['argentina'],[[]]
Alberto Spencer,Fecha de defunción,['2006-11-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Spencer?,['2006-11-03'],['ecuador'],[[]]
Alberto Tejada,Fecha de defunción,['2018-01-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Tejada?,['2018-01-20'],['peru'],[[]]
Alberto Valdés Ramos,Fecha de defunción,['2013-04-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Valdés Ramos?,['2013-04-14'],['mexico'],[[]]
Alberto Villalta,Fecha de defunción,['2017-03-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Villalta?,['2017-03-04'],['el_salvador'],[[]]
Alberto Warnken,Fecha de defunción,['1944-09-14'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Warnken?,['1944-09-14'],['chile'],[[]]
Alberto Zorrilla,Fecha de defunción,['1986-04-23'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto Zorrilla?,['1986-04-23'],['argentina'],[[]]
Alberto de la Campa y Roff,Fecha de defunción,['1964-05-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alberto de la Campa y Roff?,['1964-05-01'],['cuba'],[[]]
Albino Barra Villalobos,Fecha de defunción,['1993-08-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Albino Barra Villalobos?,['1993-08-17'],['chile'],[[]]
Alcibíades Arosemena,Fecha de defunción,['1958-04-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Alcibíades Arosemena?,['1958-04-08'],['panama'],[[]]
Alcibíades Roldán Álvarez,Fecha de defunción,['1947-06-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alcibíades Roldán Álvarez?,['1947-06-28'],['chile'],[[]]
Alcibíades Vicencio,Fecha de defunción,['1913-04-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Alcibíades Vicencio?,['1913-04-30'],['chile'],[[]]
Alcides Báez,Fecha de defunción,['2023-10-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Alcides Báez?,['2023-10-08'],['paraguay'],[[]]
Aldo Francia,Fecha de defunción,['1996-10-15'],Contesta la siguiente pregunta: ¿Cuándo falleció Aldo Francia?,['1996-10-15'],['chile'],[[]]
Aldo Ricardo Castañeda,Fecha de defunción,['2021-04-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Aldo Ricardo Castañeda?,['2021-04-30'],['guatemala'],[[]]
Alejandra Pizarnik,Fecha de defunción,['1972-09-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandra Pizarnik?,['1972-09-25'],['argentina'],[[]]
Alejandro Agustín Lanusse,Fecha de defunción,['1996-08-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Agustín Lanusse?,['1996-08-26'],['argentina'],[[]]
Alejandro Alvarado García,Fecha de defunción,['1922-09-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Alvarado García?,['1922-09-11'],['costa_rica'],[[]]
Alejandro Alvarado Quirós,Fecha de defunción,['1945-05-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Alvarado Quirós?,['1945-05-20'],['costa_rica'],[[]]
Alejandro Carrión,Fecha de defunción,['1992-01-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Carrión?,['1992-01-04'],['ecuador'],[[]]
Alejandro Cotto,Fecha de defunción,['2015-06-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Cotto?,['2015-06-05'],['el_salvador'],[[]]
Alejandro Guanes,Fecha de defunción,['1925-05-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Guanes?,['1925-05-28'],['paraguay'],[[]]
Alejandro Marroquín,Fecha de defunción,['1977-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Marroquín?,['1977-01-01'],['el_salvador'],[[]]
Alejandro Montiel Argüello,Fecha de defunción,['2012-09-17'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Montiel Argüello?,['2012-09-17'],['nicaragua'],[[]]
Alejandro Morera Soto,Fecha de defunción,['1995-03-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Morera Soto?,['1995-03-26'],['costa_rica'],[[]]
Alejandro Noemi Huerta,Fecha de defunción,['1993-08-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Noemi Huerta?,['1993-08-21'],['chile'],[[]]
Alejandro Oms,Fecha de defunción,['1946-11-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Oms?,['1946-11-05'],['cuba'],[[]]
Alejandro Paulino Campos Rebhein,Fecha de defunción,['2010-01-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Paulino Campos Rebhein?,['2010-01-24'],['chile'],[[]]
Alejandro Pietri,Fecha de defunción,['1992-05-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Pietri?,['1992-05-05'],['venezuela'],[[]]
Alejandro Planchart,Fecha de defunción,['2019-04-28'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Planchart?,['2019-04-28'],['venezuela'],[[]]
Alejandro Reyes,Fecha de defunción,['1884-01-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Reyes?,['1884-01-08'],['chile'],[[]]
Alejandro Rojas Wainer,Fecha de defunción,['2018-04-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Rojas Wainer?,['2018-04-16'],['chile'],[[]]
Alejandro Ríos Valdivia,Fecha de defunción,['2000-07-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Ríos Valdivia?,['2000-07-30'],['chile'],[[]]
Alejandro Serani Burgos,Fecha de defunción,['1981-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Serani Burgos?,['1981-01-01'],['chile'],[[]]
Alejandro Serrano Aguilar,Fecha de defunción,['2019-08-06'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Serrano Aguilar?,['2019-08-06'],['ecuador'],[[]]
Alejandro Silva Bascuñán,Fecha de defunción,['2013-09-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Silva Bascuñán?,['2013-09-11'],['chile'],[[]]
Alejandro Silva Vilches,Fecha de defunción,['2018-12-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Silva Vilches?,['2018-12-21'],['chile'],[[]]
Alejandro Tinsly,Fecha de defunción,['1961-07-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Tinsly?,['1961-07-24'],['chile'],[[]]
Alejandro Toro Herrera,Fecha de defunción,['2017-02-02'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Toro Herrera?,['2017-02-02'],['chile'],[[]]
Alejandro Vega Matus,Fecha de defunción,['1937-11-26'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Vega Matus?,['1937-11-26'],['nicaragua'],[[]]
Alejandro Venegas,Fecha de defunción,['1922-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Venegas?,['1922-01-01'],['chile'],[[]]
Alejandro Vial,Fecha de defunción,['1911-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Vial?,['1911-01-01'],['chile'],[[]]
Alejandro Villanueva,Fecha de defunción,['1944-04-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Villanueva?,['1944-04-11'],['peru'],[[]]
Alejandro Woss y Gil,Fecha de defunción,['1932-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejandro Woss y Gil?,['1932-01-01'],['republica_dominicana'],[[]]
Alejo Carpentier,Fecha de defunción,['1980-04-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejo Carpentier?,['1980-04-24'],['cuba'],[[]]
Alejo Lascano Bahamonde,Fecha de defunción,['1904-12-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alejo Lascano Bahamonde?,['1904-12-03'],['ecuador'],[[]]
Alessandro de Tomaso,Fecha de defunción,['2003-05-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Alessandro de Tomaso?,['2003-05-21'],['argentina'],[[]]
Alex Curling Delisser,Fecha de defunción,['1987-08-22'],Contesta la siguiente pregunta: ¿Cuándo falleció Alex Curling Delisser?,['1987-08-22'],['costa_rica'],[[]]
Alex Lemun,Fecha de defunción,['2002-11-12'],Contesta la siguiente pregunta: ¿Cuándo falleció Alex Lemun?,['2002-11-12'],['chile'],[[]]
Alex Olmedo,Fecha de defunción,['2020-12-09'],Contesta la siguiente pregunta: ¿Cuándo falleció Alex Olmedo?,['2020-12-09'],['peru'],[[]]
Alexander Salkind,Fecha de defunción,['1997-03-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Alexander Salkind?,['1997-03-08'],['mexico'],[[]]
Alexis Argüello,Fecha de defunción,['2009-07-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alexis Argüello?,['2009-07-01'],['nicaragua'],[[]]
Alexis Nahuelquén,Fecha de defunción,['2002-04-16'],Contesta la siguiente pregunta: ¿Cuándo falleció Alexis Nahuelquén?,['2002-04-16'],['chile'],[[]]
Alexánder Obando,Fecha de defunción,['2020-09-15'],Contesta la siguiente pregunta: ¿Cuándo falleció Alexánder Obando?,['2020-09-15'],['costa_rica'],[[]]
Alfonso Alcalde,Fecha de defunción,['1992-05-05'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Alcalde?,['1992-05-05'],['chile'],[[]]
Alfonso Asenjo Gómez,Fecha de defunción,['1980-05-29'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Asenjo Gómez?,['1980-05-29'],['chile'],[[]]
Alfonso Bauer Paiz,Fecha de defunción,['2011-07-10'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Bauer Paiz?,['2011-07-10'],['guatemala'],[[]]
Alfonso Cachiguango,Fecha de defunción,['2020-06-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Cachiguango?,['2020-06-21'],['ecuador'],[[]]
Alfonso Cortés,Fecha de defunción,['1969-02-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Cortés?,['1969-02-03'],['nicaragua'],[[]]
Alfonso Enrique Barrientos,Fecha de defunción,['2007-09-24'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Enrique Barrientos?,['2007-09-24'],['guatemala'],[[]]
Alfonso Grados Bertorini,Fecha de defunción,['2010-10-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Grados Bertorini?,['2010-10-04'],['peru'],[[]]
Alfonso Guillén Zelaya,Fecha de defunción,['1947-09-04'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Guillén Zelaya?,['1947-09-04'],['honduras'],[[]]
Alfonso Juan-Oliver,Fecha de defunción,['2009-12-13'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Juan-Oliver?,['2009-12-13'],['chile'],[[]]
Alfonso Lara,Fecha de defunción,['2013-08-13'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Lara?,['2013-08-13'],['chile'],[[]]
Alfonso Lovo Cordero,Fecha de defunción,['2018-05-10'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Lovo Cordero?,['2018-05-10'],['nicaragua'],[[]]
Alfonso López Pumarejo,Fecha de defunción,['1959-11-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso López Pumarejo?,['1959-11-20'],['colombia'],[[]]
Alfonso Montemayor,Fecha de defunción,['2012-11-23'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Montemayor?,['2012-11-23'],['mexico'],[[]]
Alfonso Orantes,Fecha de defunción,['1985-06-19'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Orantes?,['1985-06-19'],['guatemala'],[[]]
Alfonso Ortega Urbina,Fecha de defunción,['2006-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Ortega Urbina?,['2006-01-01'],['nicaragua'],[[]]
Alfonso Orueta,Fecha de defunción,['2012-10-03'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Orueta?,['2012-10-03'],['chile'],[[]]
Alfonso Quiñónez Molina,Fecha de defunción,['1950-05-22'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Quiñónez Molina?,['1950-05-22'],['el_salvador'],[[]]
Alfonso Rojo de la Vega,Fecha de defunción,['1967-05-11'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Rojo de la Vega?,['1967-05-11'],['mexico'],[[]]
Alfonso Ulloa Zamora,Fecha de defunción,['2000-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfonso Ulloa Zamora?,['2000-01-01'],['costa_rica'],[[]]
Alfredo Alberto Pacheco,Fecha de defunción,['2015-12-27'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Alberto Pacheco?,['2015-12-27'],['el_salvador'],[[]]
Alfredo Alegría Rosales,Fecha de defunción,['1974-11-25'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Alegría Rosales?,['1974-11-25'],['nicaragua'],[[]]
Alfredo Baquerizo Moreno,Fecha de defunción,['1951-03-20'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Baquerizo Moreno?,['1951-03-20'],['ecuador'],[[]]
Alfredo Bauer,Fecha de defunción,['2016-05-21'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Bauer?,['2016-05-21'],['argentina'],[[]]
Alfredo Betancourt,Fecha de defunción,['2013-08-30'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Betancourt?,['2013-08-30'],['el_salvador'],[[]]
Alfredo Cantón,Fecha de defunción,['1967-07-08'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Cantón?,['1967-07-08'],['panama'],[[]]
Alfredo Cardona Peña,Fecha de defunción,"['1995-01-31', '1995-02-01']",Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Cardona Peña?,"['1995-01-31', '1995-02-01']","['costa_rica', 'costa_rica']","[[], []]"
Alfredo Castro Fernández,Fecha de defunción,['1966-01-01'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Castro Fernández?,['1966-01-01'],['costa_rica'],[[]]
Alfredo Czarninski,Fecha de defunción,['2003-08-19'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Czarninski?,['2003-08-19'],['ecuador'],[[]]
Alfredo Di Stéfano,Fecha de defunción,['2014-07-07'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Di Stéfano?,['2014-07-07'],['argentina'],[[]]
Alfredo Duhalde,Fecha de defunción,['1985-04-10'],Contesta la siguiente pregunta: ¿Cuándo falleció Alfredo Duhalde?,['1985-04-10'],['chile'],[[]]
